,urn,author,title,year,lang
283,2006081000041,"Bing, Kristian",Guttekorpsene i Bergen,1889,nob
284,2008100703009,"Moe, Bernt",Biographiske Efterretninger om Eidsvolds-Repræsentanter og Storthingsmænd i Tidsrummet 1814-1845,1845,nob
285,2016100306002,"Nilssen, Jappe 1870-1931",gamle historie og andre fortællinger,1905,nob
286,2016101848027,"Foltmar, C.U.D.",Leiligheds-Digte,1886,nob
287,2009092310001,"Munch, P.A.",Norges Historie i kortfattet Udtog,1858,nob
288,2010063006118,"Sienkiewicz, Henryk",Korsridderne,1904,nob
289,2009032003008,"Dahle, T.",Kapteinens Datter ; og En ungdoms Brud,1896,nob
290,2010030903068,"Pontoppidan, Erik",Udtog af Dr. Erich Pontoppidans Forklaring,1856,nob
291,2006082300036,"Kjær, Nils",Bøger og Billeder,1898,nob
292,2013052727004,"Wettergreen, F.","Taler, holdne i Borre-Hovedkirke paa den af Norges Regent Prinds Christian Frederik anordnede Almindelige festlige Bededag den 4de Marts 1814",1814,nob
293,2009020503027,"Breda, O.C.",Ny grund,1897,nob
294,2010052706047,"Bugge, F.W.",Apostelen Paulus's Breve,1886,nob
295,2015102308144,"Motzfeldt, U.A.",norske vasdragsrets historie indtil aaret 1800 med domsamling,1908,nob
296,2009042204004,"Holmsen, A.",Naturlære for folkeskolen,1902,nob
297,2016022308155,"Rygg, N.","Om Børn, fødte udenfor Ægteskab",1907,nob
298,2013010208013,"White, Ellen G.",Vejen til Kristus,1893,nob
299,2012080113015,"Arctander, A.M. St.",Vore saltvandsfiskerier og arbeidet for fiskeribedriftens fremme 1879-1899,1900,nob
300,2009110600015,"Ross, Hans","""Lister""",1900,nob
301,2012042508100,"Bull, Jacob B.",Østerdalskongen,1907,nob
302,2006082800104,"Keyser, R.",Samlede Afhandlinger,1868,nob
303,2009080512004,,Udkast til en Militær-Straffelov for Kongeriget Norge,1841,nob
304,2014111908081,"Arctander, Sofus",Landboforhold og Jordleielovgivning i fremmede Lande,1882,nob
305,2013061808168,"Jensen, S. Holst",Bregner,1910,nob
306,2009092403004,"Siebke, Johan Heinrich Spalckhawer",Omrids af Dyrerigets og Planterigets Naturhistorie,1866,nob
307,2009012903038,"Klaveness, Thv.",Jordens salt og verdens lys,1897,nob
308,2012080808002,"Botten-Hansen, Paul",Eidsvold-galleri,1856,nob
309,2016051048077,"Hellwald, Friedrich von",Australien og Nyseeland,1883,nob
